Behavior,GPT-4,GPT-3.5,Llama2-70b,Llama2-13b,ASH,Human-Average,Human-High,Human-Low
Reflections on Needs,3.1,6.4,5.1,5.3,6.7778,6.2,4.4,8.1
Reflections on Emotions,6.1,5.7,7.2,6.1,3.6765,6.3,5.2,7.4
Reflections on Values,8.3,9.1,10.3,10.1,10.25,9.9,8.8,11
Reflections on Consequences,6.5,7.6,6.5,7,8.125,7,6.2,7.8
Reflections on Conflicts,7.2,8.1,7.8,7.8,6.2368,10,8.2,11.8
Reflections on Strengths,7.9,9.1,8.7,9.4,7.7188,10.2,8.4,11.9
Questions on Experiences,2.7,3.7,2.9,3.8,1.175,2.9,2.2,3.6
Questions on Perspectives,8.5,9.7,8.7,8.7,3.875,12.6,10,15.3
Questions on Emotions,6.2,6,5.3,5.4,3,7,6.7,7.3
Problem-Solving,7.8,7.1,7.5,9,13.4286,8.3,8.7,8
Planning,9.3,10.2,8.7,10.7,14.4,11.9,11.5,12.4
Normalizing,7.9,7,9.3,9,4.0833,6.9,6.2,7.7
Psychoeducation,11.1,8.2,11.8,11.5,10,8.9,8.5,9.2
